"filename", "language", "JavaScript", "Markdown", "Batch", "Docker", "MS SQL", "YAML", "JSON", "JSON with Comments", "TypeScript", "Python", "XML", "TypeScript JSX", "PostCSS", "comment", "blank", "total"
"c:\Users\10csh\OneDrive\Desktop\omniroute-coder-external-provider-version6.9\omniroute-coder\AGENTS.md", "Markdown", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 10
"c:\Users\10csh\OneDrive\Desktop\omniroute-coder-external-provider-version6.9\omniroute-coder\AWS_DEPLOYMENT_CHECKLIST.md", "Markdown", 0, 833, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 257, 1090
"c:\Users\10csh\OneDrive\Desktop\omniroute-coder-external-provider-version6.9\omniroute-coder\CLAUDE.md", "Markdown", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\10csh\OneDrive\Desktop\omniroute-coder-external-provider-version6.9\omniroute-coder\DEPLOYMENT.md", "Markdown", 0, 406, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 136, 542
"c:\Users\10csh\OneDrive\Desktop\omniroute-coder-external-provider-version6.9\omniroute-coder\Dockerfile", "Docker", 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 114, 24, 175
"c:\Users\10csh\OneDrive\Desktop\omniroute-coder-external-provider-version6.9\omniroute-coder\IMPLEMENTATION_PLAN.md", "Markdown", 0, 589, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 141, 730
"c:\Users\10csh\OneDrive\Desktop\omniroute-coder-external-provider-version6.9\omniroute-coder\PROVIDERS.md", "Markdown", 0, 192, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 94, 286
"c:\Users\10csh\OneDrive\Desktop\omniroute-coder-external-provider-version6.9\omniroute-coder\README.md", "Markdown", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 37
"c:\Users\10csh\OneDrive\Desktop\omniroute-coder-external-provider-version6.9\omniroute-coder\VSCODE_EXTENSION_REQUIREMENT.md", "Markdown", 0, 137, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 51, 188
"c:\Users\10csh\OneDrive\Desktop\omniroute-coder-external-provider-version6.9\omniroute-coder\activate-agentrouter.js", "JavaScript", 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 20, 96
"c:\Users\10csh\OneDrive\Desktop\omniroute-coder-external-provider-version6.9\omniroute-coder\agentrouter-proxy\proxy.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 71, 0, 0, 0, 0, 5, 76
"c:\Users\10csh\OneDrive\Desktop\omniroute-coder-external-provider-version6.9\omniroute-coder\check-schema.bat", "Batch", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\10csh\OneDrive\Desktop\omniroute-coder-external-provider-version6.9\omniroute-coder\check-schema.js", "JavaScript", 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 8, 55
"c:\Users\10csh\OneDrive\Desktop\omniroute-coder-external-provider-version6.9\omniroute-coder\docker-compose.yml", "YAML", 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 168, 21, 232
"c:\Users\10csh\OneDrive\Desktop\omniroute-coder-external-provider-version6.9\omniroute-coder\eslint.config.mjs", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 19
"c:\Users\10csh\OneDrive\Desktop\omniroute-coder-external-provider-version6.9\omniroute-coder\fix-agentrouter-config.sql", "MS SQL", 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 51, 8, 90
"c:\Users\10csh\OneDrive\Desktop\omniroute-coder-external-provider-version6.9\omniroute-coder\fix-agentrouter.bat", "Batch", 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 7, 42
"c:\Users\10csh\OneDrive\Desktop\omniroute-coder-external-provider-version6.9\omniroute-coder\fix-agentrouter.js", "JavaScript", 94, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 19, 127
"c:\Users\10csh\OneDrive\Desktop\omniroute-coder-external-provider-version6.9\omniroute-coder\fix-pipeline-connections.js", "JavaScript", 148, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 36, 198
"c:\Users\10csh\OneDrive\Desktop\omniroute-coder-external-provider-version6.9\omniroute-coder\next.config.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 92, 10, 144
"c:\Users\10csh\OneDrive\Desktop\omniroute-coder-external-provider-version6.9\omniroute-coder\omniroute-external-providers-version-6.9.bat", "Batch", 0, 0, 71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 18, 117
"c:\Users\10csh\OneDrive\Desktop\omniroute-coder-external-provider-version6.9\omniroute-coder\package-lock.json", "JSON", 0, 0, 0, 0, 0, 0, 9389, 0, 0, 0, 0, 0, 0, 0, 1, 9390
"c:\Users\10csh\OneDrive\Desktop\omniroute-coder-external-provider-version6.9\omniroute-coder\package.json", "JSON", 0, 0, 0, 0, 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 1, 50
"c:\Users\10csh\OneDrive\Desktop\omniroute-coder-external-provider-version6.9\omniroute-coder\postcss.config.mjs", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"c:\Users\10csh\OneDrive\Desktop\omniroute-coder-external-provider-version6.9\omniroute-coder\public\file.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\10csh\OneDrive\Desktop\omniroute-coder-external-provider-version6.9\omniroute-coder\public\globe.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\10csh\OneDrive\Desktop\omniroute-coder-external-provider-version6.9\omniroute-coder\public\next.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\10csh\OneDrive\Desktop\omniroute-coder-external-provider-version6.9\omniroute-coder\public\vercel.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\10csh\OneDrive\Desktop\omniroute-coder-external-provider-version6.9\omniroute-coder\public\window.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\10csh\OneDrive\Desktop\omniroute-coder-external-provider-version6.9\omniroute-coder\run-fix.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
"c:\Users\10csh\OneDrive\Desktop\omniroute-coder-external-provider-version6.9\omniroute-coder\src\app\api\admin\route.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 349, 0, 0, 0, 0, 69, 41, 459
"c:\Users\10csh\OneDrive\Desktop\omniroute-coder-external-provider-version6.9\omniroute-coder\src\app\api\agent\tasks\route.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 360, 0, 0, 0, 0, 88, 42, 490
"c:\Users\10csh\OneDrive\Desktop\omniroute-coder-external-provider-version6.9\omniroute-coder\src\app\api\auth\logout\route.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 24, 9, 74
"c:\Users\10csh\OneDrive\Desktop\omniroute-coder-external-provider-version6.9\omniroute-coder\src\app\api\auth\send-otp\route.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 108, 0, 0, 0, 0, 44, 15, 167
"c:\Users\10csh\OneDrive\Desktop\omniroute-coder-external-provider-version6.9\omniroute-coder\src\app\api\auth\session\route.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 39, 7, 82
"c:\Users\10csh\OneDrive\Desktop\omniroute-coder-external-provider-version6.9\omniroute-coder\src\app\api\auth\verify-otp\route.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 134, 0, 0, 0, 0, 35, 16, 185
"c:\Users\10csh\OneDrive\Desktop\omniroute-coder-external-provider-version6.9\omniroute-coder\src\app\api\backups\restore\route.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 130, 0, 0, 0, 0, 58, 23, 211
"c:\Users\10csh\OneDrive\Desktop\omniroute-coder-external-provider-version6.9\omniroute-coder\src\app\api\backups\route.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 89, 0, 0, 0, 0, 33, 20, 142
"c:\Users\10csh\OneDrive\Desktop\omniroute-coder-external-provider-version6.9\omniroute-coder\src\app\api\chat\generate-document\route.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 179, 0, 0, 0, 0, 96, 37, 312
"c:\Users\10csh\OneDrive\Desktop\omniroute-coder-external-provider-version6.9\omniroute-coder\src\app\api\chat\route.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 951, 0, 0, 0, 0, 240, 112, 1303
"c:\Users\10csh\OneDrive\Desktop\omniroute-coder-external-provider-version6.9\omniroute-coder\src\app\api\chats\[id]\route.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 89, 0, 0, 0, 0, 44, 19, 152
"c:\Users\10csh\OneDrive\Desktop\omniroute-coder-external-provider-version6.9\omniroute-coder\src\app\api\chats\route.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 38, 10, 86
"c:\Users\10csh\OneDrive\Desktop\omniroute-coder-external-provider-version6.9\omniroute-coder\src\app\api\credentials\route.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 160, 0, 0, 0, 0, 50, 27, 237
"c:\Users\10csh\OneDrive\Desktop\omniroute-coder-external-provider-version6.9\omniroute-coder\src\app\api\credentials\test\route.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 192, 0, 0, 0, 0, 48, 28, 268
"c:\Users\10csh\OneDrive\Desktop\omniroute-coder-external-provider-version6.9\omniroute-coder\src\app\api\credits\route.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 97, 0, 0, 0, 0, 36, 13, 146
"c:\Users\10csh\OneDrive\Desktop\omniroute-coder-external-provider-version6.9\omniroute-coder\src\app\api\extension\status\route.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 42, 6, 69
"c:\Users\10csh\OneDrive\Desktop\omniroute-coder-external-provider-version6.9\omniroute-coder\src\app\api\extension\token\route.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 79, 0, 0, 0, 0, 66, 20, 165
"c:\Users\10csh\OneDrive\Desktop\omniroute-coder-external-provider-version6.9\omniroute-coder\src\app\api\external-chat\route.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 26, 6, 46
"c:\Users\10csh\OneDrive\Desktop\omniroute-coder-external-provider-version6.9\omniroute-coder\src\app\api\external-models\route.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 22, 4, 39
"c:\Users\10csh\OneDrive\Desktop\omniroute-coder-external-provider-version6.9\omniroute-coder\src\app\api\health\route.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 30, 6, 54
"c:\Users\10csh\OneDrive\Desktop\omniroute-coder-external-provider-version6.9\omniroute-coder\src\app\api\models\route.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 177, 0, 0, 0, 0, 58, 24, 259
"c:\Users\10csh\OneDrive\Desktop\omniroute-coder-external-provider-version6.9\omniroute-coder\src\app\api\ollama\control\route.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 188, 0, 0, 0, 0, 80, 26, 294
"c:\Users\10csh\OneDrive\Desktop\omniroute-coder-external-provider-version6.9\omniroute-coder\src\app\api\omniroute\debug\route.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 374, 0, 0, 0, 0, 38, 31, 443
